#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 19:52:39.993
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-50.08281507674673,0
2.44140625,-53.40361777240094,179.924568201929
4.8828125,-63.88578209345631,179.888583216163
7.32421875,-80.81927355348924,3.167007052923161
9.765625,-87.68362874658632,12.794572847124
12.20703125,-90.61326985337998,13.40922365480742
14.6484375,-97.83730499802206,3.781708272383205
17.08984375,-106.1717021678659,171.6798123839241
19.53125,-94.32404746046043,144.4663201885995
21.97265625,-92.07207039460553,138.3150889287059
24.4140625,-95.54875498094722,172.3708742421938
26.85546875,-93.93833462544096,45.42388031920593
29.296875,-95.44866815871731,30.2650898511007
31.73828125,-96.31004147338348,144.963043839358
34.1796875,-94.65499663246592,113.7810195138591
36.62109375,-93.53767563918916,99.13294618039609
39.0625,-92.09811491947499,101.3219091555318
41.50390625,-91.30261203329525,122.2256128084735
43.9453125,-86.83128034868119,98.41800873043947
46.38671875,-74.96734805641731,66.19898164166796
48.828125,-68.51373368669996,60.19242623609261
51.26953125,-68.71848462949299,58.42259279079624
53.7109375,-75.85350719272913,56.15468464664173
56.15234375,-93.30759313504981,46.11825302234372
58.59375,-101.9285070449562,24.22265055345594
61.03515625,-97.50517200984234,156.9557292369222
63.4765625,-94.35452999879764,124.3261903796448
65.91796875,-92.93566577303841,112.3911025111623
68.359375,-93.35359371590378,117.5525562775105
70.80078125,-91.01662212143084,143.5017987902023
73.2421875,-87.50872936025486,164.3837729758872
75.68359375,-87.44666453864326,172.9628044584807
78.125,-92.98762515527471,163.9252628423933
80.56640625,-97.11872506671034,67.20332139574283
83.0078125,-94.54261111374115,31.99034613445785
85.44921875,-101.9861915242379,34.40152670864695
87.890625,-99.40753133099511,144.5750912293195
90.33203125,-90.77410081554217,136.6477378839135
92.7734375,-51.49538597665246,83.72401574724408
95.21484375,-30.50213248952897,83.1953879052644
